2024-08-01T00:00:00.097000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000378341
2025-01-20T10:00:00.018000+00:00 → rate: 0.00007705, annualized: 67.5000%, premium: 0.0011164387
2025-01-20T11:00:00.004000+00:00 → rate: 0.00007901, annualized: 69.2129%, premium: 0.0011320816
2025-01-20T12:00:00.105000+00:00 → rate: 0.00009777, annualized: 85.6468%, premium: 0.0012821626
2025-01-20T13:00:00.143000+00:00 → rate: 0.00004633, annualized: 40.5873%, premium: 0.0008706597
2025-01-20T14:00:00.006000+00:00 → rate: 0.00004993, annualized: 43.7352%, premium: 0.000899408
2025-01-20T15:00:00.010000+00:00 → rate: 0.00004954, annualized: 43.3957%, premium: 0.0008963081
2025-01-20T16:00:00.025000+00:00 → rate: 0.00006782, annualized: 59.4066%, premium: 0.0010425263
2025-01-20T17:00:00.031000+00:00 → rate: 0.00003452, annualized: 30.2365%, premium: 0.000776133
2025-01-20T18:00:00.018000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002757052
2025-01-20T19:00:00.012000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005939627
2025-01-20T20:00:00.043000+00:00 → rate: 0.00004285, annualized: 37.5342%, premium: 0.0008427787
2025-01-20T21:00:00.077000+00:00 → rate: 0.00006580, annualized: 57.6412%, premium: 0.0010264041
2025-01-20T22:00:00.023000+00:00 → rate: 0.00004720, annualized: 41.3494%, premium: 0.0008776201
2025-01-20T23:00:00.023000+00:00 → rate: 0.00002242, annualized: 19.6361%, premium: 0.0006793248
2025-01-21T00:00:00.010000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004185629
2025-01-21T01:00:00.089000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.000033592
2025-01-21T02:00:00.002000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001321722
2025-01-21T03:00:00.107000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000136714
2025-01-21T04:00:00.050000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001508218
2025-01-21T05:00:00.037000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001188302
2025-01-21T06:00:00.179000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002103802
2025-01-21T07:00:00.020000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000014009
2025-01-21T08:00:00.134000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000344826
2025-01-21T09:00:00.134000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000759922
2025-01-21T10:00:00.001000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002153103
2025-01-21T11:00:00.112000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004294007
2025-01-21T12:00:00.081000+00:00 → rate: 0.00001350, annualized: 11.8269%, premium: 0.0006080077
2025-01-21T13:00:00.042000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005912722
2025-01-21T14:00:00.024000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003044481
2025-01-21T15:00:00.028000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.000363794
2025-01-21T16:00:00.106000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002773391
2025-01-21T17:00:00.061000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004074045
2025-01-21T18:00:00.024000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004601701
2025-01-21T19:00:00.042000+00:00 → rate: 0.00003133, annualized: 27.4412%, premium: 0.0007506046
2025-01-21T20:00:00.021000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005609956
2025-01-21T21:00:00.005000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004335094
2025-01-21T22:00:00.145000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.000410647
2025-01-21T23:00:00.025000+00:00 → rate: 0.00002955, annualized: 25.8838%, premium: 0.0007363812
2025-01-22T00:00:00.037000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005843738
2025-01-22T01:00:00.004000+00:00 → rate: 0.00001388, annualized: 12.1566%, premium: 0.0006110189
2025-01-22T02:00:00.100000+00:00 → rate: 0.00001410, annualized: 12.3505%, premium: 0.0006127906
2025-01-22T03:00:00.028000+00:00 → rate: 0.00003720, annualized: 32.5839%, premium: 0.0007975696
2025-01-22T04:00:00.007000+00:00 → rate: 0.00003103, annualized: 27.1789%, premium: 0.0007482087
2025-01-22T05:00:00.159000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004554131
2025-01-22T06:00:00.069000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005717586
2025-01-22T07:00:00.065000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005653648
2025-01-22T08:00:00.041000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003000535
2025-01-22T09:00:00.006000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000557326
2025-01-22T10:00:00.034000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001025319
2025-01-22T11:00:00.105000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001765784
2025-01-22T12:00:00.036000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003588213
2025-01-22T13:00:00.038000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003220034
2025-01-22T14:00:00.041000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003403073
2025-01-22T15:00:00.065000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000643152
2025-01-22T16:00:00.147000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000568455
2025-01-22T17:00:00.065000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000625552
2025-01-22T18:00:00.070000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003048249
2025-01-22T19:00:00.056000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002903432
2025-01-22T20:00:00.072000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002318496
2025-01-22T21:00:00.060000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002211558
2025-01-22T22:00:00.103000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000154906
2025-01-22T23:00:00.074000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002437319
2025-01-23T00:00:00.080000+00:00 → rate: -0.00000072, annualized: -0.6347%, premium: -0.0005057958
2025-01-23T01:00:00.020000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001391039
2025-01-23T02:00:00.043000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002177339
2025-01-23T03:00:00.149000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003653298
2025-01-23T04:00:00.035000+00:00 → rate: 0.00000625, annualized: 5.4742%, premium: -0.0004500068
2025-01-23T05:00:00.035000+00:00 → rate: 0.00001055, annualized: 9.2425%, premium: -0.0004155938
2025-01-23T06:00:00.068000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000357066
2025-01-23T07:00:00.049000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003040148
2025-01-23T08:00:00.161000+00:00 → rate: 0.00000263, annualized: 2.3039%, premium: -0.0004789599
2025-01-23T09:00:00.127000+00:00 → rate: 0.00000483, annualized: 4.2294%, premium: -0.0004613752
2025-01-23T10:00:00.008000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002863206
2025-01-23T11:00:00.036000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000280653
2025-01-23T12:00:00.007000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002364208
2025-01-23T13:00:00.045000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001920419
2025-01-23T14:00:00.036000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000704454
2025-01-23T15:00:00.065000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000586453
2025-01-23T16:00:00.035000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002537759
2025-01-23T17:00:00.094000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001073378
2025-01-23T18:00:00.145000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002522169
2025-01-23T19:00:00.074000+00:00 → rate: 0.00000644, annualized: 5.6411%, premium: -0.0004484834
2025-01-23T20:00:00.101000+00:00 → rate: -0.00001707, annualized: -14.9533%, premium: -0.0006365598
2025-01-23T21:00:00.131000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000570341
2025-01-23T22:00:00.040000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000608493
2025-01-23T23:00:00.069000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005850152
2025-01-24T00:00:00.067000+00:00 → rate: 0.00001917, annualized: 16.7894%, premium: 0.0006533279
2025-01-24T01:00:00.101000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003081622
2025-01-24T02:00:00.069000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001229991
2025-01-24T03:00:00.156000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.000084602
2025-01-24T04:00:00.024000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001737069
2025-01-24T05:00:00.116000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000056638
2025-01-24T06:00:00.049000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003876821
2025-01-24T07:00:00.152000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003798003
2025-01-24T08:00:00.090000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004069755
2025-01-24T09:00:00.014000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003334258
2025-01-24T10:00:00.027000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001974886
2025-01-24T11:00:00.122000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002102931
2025-01-24T12:00:00.069000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003953991
2025-01-24T13:00:00.047000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002163753
2025-01-24T14:00:00.170000+00:00 → rate: 0.00001424, annualized: 12.4784%, premium: 0.0006139572
2025-01-24T15:00:00.035000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005606887
2025-01-24T16:00:00.055000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004573299
2025-01-24T17:00:00.026000+00:00 → rate: 0.00001497, annualized: 13.1165%, premium: 0.0006197854
2025-01-24T18:00:00.180000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005652939
2025-01-24T19:00:00.051000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004825371
2025-01-24T20:00:00.041000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002665547
2025-01-24T21:00:00.042000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000469505
2025-01-24T22:00:00.068000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000459096
2025-01-24T23:00:00.006000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000067609
2025-01-25T00:00:00.067000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001100556
2025-01-25T01:00:00.079000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003054289
2025-01-25T02:00:00.082000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002494175
2025-01-25T03:00:00.121000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002076901
2025-01-25T04:00:00.092000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000206283
2025-01-25T05:00:00.054000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003313771
2025-01-25T06:00:00.055000+00:00 → rate: 0.00000735, annualized: 6.4424%, premium: -0.0004411659
2025-01-25T07:00:00.187000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003936109
2025-01-25T08:00:00.085000+00:00 → rate: 0.00001152, annualized: 10.0879%, premium: -0.0004078731
2025-01-25T09:00:00.006000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002409161
2025-01-25T10:00:00.004000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003555488
2025-01-25T11:00:00.178000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003777398
2025-01-25T12:00:00.055000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002569503
2025-01-25T13:00:00.018000+00:00 → rate: 0.00000494, annualized: 4.3284%, premium: -0.0004604711
2025-01-25T14:00:00.025000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002226374
2025-01-25T15:00:00.077000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001319894
2025-01-25T16:00:00.123000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001357011
2025-01-25T17:00:00.019000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002333822
2025-01-25T18:00:00.019000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001949388
2025-01-25T19:00:00.012000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.00019446
2025-01-25T20:00:00.020000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000202463
2025-01-25T21:00:00.050000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001955444
2025-01-25T22:00:00.084000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002884899
2025-01-25T23:00:00.013000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001450169
2025-01-26T00:00:00.049000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003416117
2025-01-26T01:00:00.070000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003344956
2025-01-26T02:00:00.092000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001767955
2025-01-26T03:00:00.009000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001614015
2025-01-26T04:00:00.073000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000950647
2025-01-26T05:00:00.031000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000296779
2025-01-26T06:00:00.010000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001210727
2025-01-26T07:00:00.006000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001516138
2025-01-26T08:00:00.013000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001360371
2025-01-26T09:00:00.058000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000889313
2025-01-26T10:00:00.049000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000858348
2025-01-26T11:00:00.045000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002684797
2025-01-26T12:00:00.037000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000323666
2025-01-26T13:00:00.001000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002778853
2025-01-26T14:00:00.063000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001453175
2025-01-26T15:00:00.007000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002294391
2025-01-26T16:00:00.022000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000027789
2025-01-26T17:00:00.047000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000323963
2025-01-26T18:00:00.064000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000410328
2025-01-26T19:00:00.128000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000772181
2025-01-26T20:00:00.027000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001437846
2025-01-26T21:00:00.127000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000829484
2025-01-26T22:00:00.038000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003389745
2025-01-26T23:00:00.004000+00:00 → rate: 0.00000618, annualized: 5.4142%, premium: -0.0004505553
2025-01-27T00:00:00.096000+00:00 → rate: -0.00001741, annualized: -15.2494%, premium: -0.0006392638
2025-01-27T01:00:00.002000+00:00 → rate: -0.00000478, annualized: -4.1836%, premium: -0.0005382065
2025-01-27T02:00:00.014000+00:00 → rate: -0.00001042, annualized: -9.1237%, premium: -0.0005833216
2025-01-27T03:00:00.039000+00:00 → rate: -0.00002100, annualized: -18.3961%, premium: -0.0006680006
2025-01-27T04:00:00.034000+00:00 → rate: -0.00001407, annualized: -12.3233%, premium: -0.0006125414
2025-01-27T05:00:00.026000+00:00 → rate: -0.00001411, annualized: -12.3576%, premium: -0.0006128549
2025-01-27T06:00:00.085000+00:00 → rate: -0.00001579, annualized: -13.8337%, premium: -0.0006263351
2025-01-27T07:00:00.113000+00:00 → rate: -0.00002106, annualized: -18.4485%, premium: -0.0006684796
2025-01-27T08:00:00.096000+00:00 → rate: -0.00003934, annualized: -34.4615%, premium: -0.0008147165
2025-01-27T09:00:00.068000+00:00 → rate: -0.00000139, annualized: -1.2135%, premium: -0.0005110826
2025-01-27T10:00:00.009000+00:00 → rate: 0.00001112, annualized: 9.7448%, premium: -0.0004110066
2025-01-27T11:00:00.036000+00:00 → rate: -0.00000582, annualized: -5.0939%, premium: -0.0005465198
2025-01-27T12:00:00.167000+00:00 → rate: 0.00000979, annualized: 8.5745%, premium: -0.0004216945
2025-01-27T13:00:00.052000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002036788
2025-01-27T14:00:00.084000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001125552
2025-01-27T15:00:00.046000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000146124
2025-01-27T16:00:00.043000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000821823
2025-01-27T17:00:00.007000+00:00 → rate: 0.00000397, annualized: 3.4783%, premium: -0.0004682342
2025-01-27T18:00:00.065000+00:00 → rate: -0.00001882, annualized: -16.4875%, premium: -0.000650571
2025-01-27T19:00:00.066000+00:00 → rate: -0.00002471, annualized: -21.6442%, premium: -0.0006976638
2025-01-27T20:00:00.063000+00:00 → rate: -0.00000115, annualized: -1.0100%, premium: -0.000509224
2025-01-27T21:00:00.049000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002490514
2025-01-27T22:00:00.044000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001506168
2025-01-27T23:00:00.014000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001065932
2025-01-28T00:00:00.068000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002086085
2025-01-28T01:00:00.099000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003797111
2025-01-28T02:00:00.005000+00:00 → rate: 0.00000482, annualized: 4.2214%, premium: -0.0004614492
2025-01-28T03:00:00.051000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003683425
2025-01-28T04:00:00.067000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003364632
2025-01-28T05:00:00.027000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001128641
2025-01-28T06:00:00.104000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000459708
2025-01-28T07:00:00.002000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001029748
2025-01-28T08:00:00.084000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001297698
2025-01-28T09:00:00.021000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001728171
2025-01-28T10:00:00.111000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000646974
2025-01-28T11:00:00.117000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000150515
2025-01-28T12:00:00.058000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000201005
2025-01-28T13:00:00.027000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001163193
2025-01-28T14:00:00.085000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000226317
2025-01-28T15:00:00.042000+00:00 → rate: 0.00000626, annualized: 5.4820%, premium: -0.0004499358
2025-01-28T16:00:00.030000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003212722
2025-01-28T17:00:00.049000+00:00 → rate: 0.00000370, annualized: 3.2454%, premium: -0.0004703616
2025-01-28T18:00:00.022000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002407521
2025-01-28T19:00:00.074000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001184255
2025-01-28T20:00:00.042000+00:00 → rate: 0.00000551, annualized: 4.8247%, premium: -0.0004559382
2025-01-28T21:00:00.036000+00:00 → rate: -0.00001460, annualized: -12.7897%, premium: -0.000616801
2025-01-28T22:00:00.019000+00:00 → rate: -0.00002781, annualized: -24.3645%, premium: -0.0007225062
2025-01-28T23:00:00.209000+00:00 → rate: -0.00002089, annualized: -18.2973%, premium: -0.0006670986
2025-01-29T00:00:00.065000+00:00 → rate: -0.00001253, annualized: -10.9799%, premium: -0.0006002726
2025-01-29T01:00:00.006000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001253317
2025-01-29T02:00:00.056000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000233056
2025-01-29T03:00:00.004000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001252962
2025-01-29T04:00:00.012000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003313165
2025-01-29T05:00:00.032000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000284174
2025-01-29T06:00:00.173000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000470616
2025-01-29T07:00:00.098000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000261744
2025-01-29T08:00:00.194000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001133624
2025-01-29T09:00:00.170000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.000144578
2025-01-29T10:00:00.059000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000882333
2025-01-29T11:00:00.023000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001209069
2025-01-29T12:00:00.054000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001321184
2025-01-29T13:00:00.034000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.00007349
2025-01-29T14:00:00.113000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002312218
2025-01-29T15:00:00.052000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002709795
2025-01-29T16:00:00.047000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002090811
2025-01-29T17:00:00.041000+00:00 → rate: -0.00000865, annualized: -7.5799%, premium: -0.0005692226
2025-01-29T18:00:00.041000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003554324
2025-01-29T19:00:00.009000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003122622
2025-01-29T20:00:00.019000+00:00 → rate: -0.00000017, annualized: -0.1492%, premium: -0.0005013626
2025-01-29T21:00:00.052000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000324813
2025-01-29T22:00:00.014000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003476329
2025-01-29T23:00:00.001000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002280085
2025-01-30T00:00:00.017000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002057805
2025-01-30T01:00:00.001000+00:00 → rate: 0.00000803, annualized: 7.0318%, premium: -0.0004357822
2025-01-30T02:00:00.144000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002113637
2025-01-30T03:00:00.065000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000511995
2025-01-30T04:00:00.087000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003043617
2025-01-30T05:00:00.110000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003997202
2025-01-30T06:00:00.062000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002126762
2025-01-30T07:00:00.031000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000539779
2025-01-30T08:00:00.040000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002135847
2025-01-30T09:00:00.060000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000444421
2025-01-30T10:00:00.051000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001573212
2025-01-30T11:00:00.057000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001388654
2025-01-30T12:00:00.053000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002618614
2025-01-30T13:00:00.012000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001818412
2025-01-30T14:00:00+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003423277
2025-01-30T15:00:00.128000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003342124
2025-01-30T16:00:00.140000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003300262
2025-01-30T17:00:00.074000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002464715
2025-01-30T18:00:00.242000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003634119
2025-01-30T19:00:00.001000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004002894
2025-01-30T20:00:00.164000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002784844
2025-01-30T21:00:00.058000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.000223465
2025-01-30T22:00:00.033000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002419194
2025-01-30T23:00:00.060000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003508902
2025-01-31T00:00:00.035000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002979919
2025-01-31T01:00:00.024000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003882598
2025-01-31T02:00:00.006000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003828301
2025-01-31T03:00:00.040000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003328011
2025-01-31T04:00:00.029000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000624298
2025-01-31T05:00:00.015000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000460267
2025-01-31T06:00:00.064000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001704219
2025-01-31T07:00:00.005000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002738717
2025-01-31T08:00:00.005000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004832585
